SiteID,X,Y,Location
518,319063,239902,barrycourt road  @ shopping centre
519,314741,237757,Old Finglas Road  Ballygall Road
520,312344,231164,ST AGNES CHURCH
521,317142,238017,GRACE PARK RD GRACE PARK HEIGHTS
522,315758,232920,HARCOURT ST HATCH ST UPPER CHARLOTTE WAY (LUAS)
524,320550,239316,Tonlegee Road  Rathvale
525,314400,237811,FINGLAS ROAD GRIFFITH AVE EXT  OLD FINGLAS ROAD
526,312230,233530,EMMET RD BULFIN RD
527,318166,237795,COLLINS AV BELTON PARK
528,313963,237970,TOLKA VALLEY ROAD FINGLAS ROAD
530,313700,231562,SUNDRIVE ROAD STANAWAY ROAD
531,319678,237160,HOWTH ROAD CASTLE AVENUE DUNLUCE ROAD
532,317798,240090,COOLOCK LANE WOODLAWN
533,313104,236062,NAVAN ROAD HAMPTON GREEN
534,315520,237598,MOBHI ROAD  Home Farm Road
535,,,Botanic Rd @ Link Rd REMOVED 23/3/95  (now run from PSC @ Harts Corner)
536,319393,232341,STRAND ROAD GILFORD ROAD
537,312166,231406,Crumlin Village @ shops
538,320294,239580,Malahide road  ayrefield (clarehall)
539,312040,236690,Kinvara Avenue  Kinvara Park
540,318220,240079,OSCAR TRAYNOR ROAD DUNDANIAL ROAD
541,312964,236532,Nephin Road  School
542,317405,238963,Shaltalla Road @ Kittys shop
543,318849,239047,Kilemore Road  Ardmore Dr
544,,,Ballyfermot Hill / Kylemore Rd
545,321421,238507,STATION ROAD SPRINGDALE ROAD
546,319422,237113,HOWTH RD COLLINS AVE EAST
547,313300,229860,Fortfield Road  Greenlea Road
548,,,Clareville Rd @ School
549,318828,239432,KILMORE ROAD KILBARRON ROAD
550,,,Warrington Pl @ Mount St Up
551,309659,233704,BALLYFERMOT ROAD @ ESB
552,307970,234024,BALLYFERMOT ROAD CHERRY ORCHARD ROAD
553,310689,233739,BALLYFERMOT ROAD O'HOGAN ROAD
554,308915,233794,BALLYFERMOT BLACKDITCH
555,315481,238628,BALLYMUN ROAD AT DCU
556,314666,236868,FINGLAS ROAD AT GLASNEVIN CEMETRY
557,,,Ballymun Rd @ Comprehensive School
558,,,Whitworth Rd @ Claude Rd
559,316821,234500,CUSTOM HOUSE QUAY COMMON STREET
560,,,Homefarm Rd @ Ferguson Rd
561,319387,237098,HOWTH ROAD SUPERVALUE
562,,,Botanic Ave @ Mannix Rd
563,,,Botanic Ave @ Botanic Park
564,,,Eglinton Rd @ Eglinton Sq
565,,,Iona Rd @ Church
566,315529,240405,BALLYMUN RD SANTRY AVE BALBUTCHER LANE
567,,,Ballymun Rd @ Flats (removed 13/8/02)
568,313428,238614,FINGLAS VILLAGE
569,,,Grange Rd / Howth View Pk
570,314334,237799,OLD FINGLAS ROAD VIOLET HILL RD
571,,,N32 @ Belcamp College
